"Name";"global_id";"Nomdescr";"Razdel";"Kod";"Idx";
"Деятельность по сопровождению компьютерных систем";"273478131";"";"J";"62.03.13";"J.62.03.13";
"Деятельность по управлению компьютерным оборудованием прочая, не включенная в другие группировки";"273478138";"";"J";"62.03.19";"J.62.03.19";
"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая";"273478140";"Эта группировка включает:^- прочие информационные технологии, связанные с работой на компьютере, не включенные в другие группировки, в том числе: предоставление услуг по восстановлению компьютера после сбоя, установку (настройку) персональных компьютеров, установку программного обеспечения^Эта группировка не включает:^- установку специализированных цифровых и аналоговых компьютеров, см. 33.20;^- разработку компьютерного программного обеспечения, см. 62.01;^- консультирование в области компьютерных систем, см. 62.02;^- управление компьютерными техническими средствами, см. 62.03;^- обработку данных и хостинг, см. 63.11";"J";"62.09";"J.62.09";
"Деятельность в области информационных технологий";"273478142";"Эта группировка включает:^- деятельность порталов поиска в информационно-коммуникационной сети Интернет, обработку данных, по созданию, изменению и использованию баз данных и хостинг;^- прочую деятельность, прежде всего по предоставлению информации";"J";"63";"J.63";
"Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет";"273478143";"Эта группировка включает:^- создание инфраструктуры для хостинга, обработку данных и деятельность, связанную с обработкой данных;^- предоставление систем поиска и прочих порталов для информационно-коммуникационной сети Интернет";"J";"63.1";"J.63.1";
"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность";"273478145";"Эта группировка включает:^- создание инфраструктуры для хостинга;^- услуги в области обработки данных и деятельность, связанную с обработкой данных;^- проведение специальных действий, таких как: web-хостинг, услуги потоковой передачи данных;^- интерактивное предоставление программного обеспечения (предоставление прикладного хостинга, предоставление прикладных программ);^- услуг приложений;^- общее предоставление распределенных по времени технических компьютерных средств заказчикам;^- обработку данных: полную обработку данных, предоставленных заказчиком;^- создание специальных отчетов на основании данных, предоставленных заказчиком;^- предоставление услуг по вводу данных^Эта группировка не включает:^- деятельность, в которой пользователь использует компьютеры только в качестве инструмента, она должна быть отнесена к группировке в соответствии с характером оказываемых услуг";"J";"63.11";"J.63.11";
"Деятельность по созданию и использованию баз данных и информационных ресурсов";"273478147";"Эта группировка включает:^- проектирование и разработку баз данных (разработку концепций, структуры, состава баз данных);^- реализацию разработанных баз данных;^- формирование и ведение баз данных, в том числе сбор данных из одного или более источников, а также ввод, верификацию и актуализацию данных;^- администрирование баз данных, в том числе обеспечение возможности доступа к базе данных в режиме непосредственного или телекоммуникационного доступа;^- поиск данных, их отбор и сортировку по запросам, предоставление отобранных данных пользователям, в том числе в режиме непосредственного доступа;^- создание информационных ресурсов различных уровней (федеральных, ведомственных, корпоративных, ресурсов предприятий);^- разработку, адаптацию, модификацию баз данных, установку, тестирование и сопровождение баз данных^Эта группировка не включает:^- разработку программного обеспечения для работы с базами данных, см. 62";"J";"63.11.1";"J.63.11.1";
"Деятельность по предоставлению услуг по размещению информации прочая";"273478150";"";"J";"63.11.9";"J.63.11.9";
"Деятельность web-порталов";"273478151";"Эта группировка включает:^- функционирование web-сайтов с использованием поисковой системы для создания и поддержки обширной базы данных Интернет-адресов, содержащихся в легко доступной форме;^- функционирование прочих web-сайтов, которые действуют как порталы информационно-коммуникационной сети Интернет (например, медиа-сайты, предлагающие периодически обновляемое содержание, СМИ, размещаемые в Интернете)^Эта группировка не включает:^- издание книг, газет, журналов и т. д. через информационно-коммуникационную сеть Интернет, см. 58;^- вещание через информационно-коммуникационную сеть Интернет, см. 60";"J";"63.12";"J.63.12";
"Деятельность сетевых изданий";"273478153";"Эта группировка включает:^- деятельность зарегистрированных СМИ, представляющих собой сайты в информационно-коммуникационной сети Интернет, по производству и распространению текстовых, фото-, видео-, мультимедиа и других информационных и новостных материалов";"J";"63.12.1";"J.63.12.1";
"Деятельность в области информационных услуг прочая";"273478155";"Эта группировка включает:^- деятельность информационных агентств;^- деятельность по предоставлению всех прочих информационных услуг^Эта группировка не включает:^- деятельность библиотек и архивов, см. 91.01";"J";"63.9";"J.63.9";
"Деятельность информационных агентств";"273478157";"Эта группировка включает:^- деятельность информационных агентств: по сбору, обработке информации, производству и распространению новостных материалов, фотографий и других информационных материалов, по предоставлению научно-технической, правовой, статистической, социальноэкономической, финансовой, коммерческой, отраслевой и прочей информации;^- деятельность журналистов и фоторепортеров^Эта группировка не включает:^- деятельность независимых фотокорреспондентов, см. 74.20;^- деятельность независимых журналистов, см. 90.03";"J";"63.91";"J.63.91";
"Деятельность информационных служб прочая, не включенная в другие группировки";"273478158";"Эта группировка включает:^- деятельность прочих информационных служб, не включенную в другие группировки: предоставление компьютерных информационных услуг телефонной связи, предоставление услуг службами информационного поиска по договору или на платной основе, предоставление услуг по составлению обзоров новостей, услуги по подборке^Эта группировка не включает:^- деятельность телефонных справочных центров, см. 82.20";"J";"63.99";"J.63.99";
"Деятельность по оказанию консультационных и информационных услуг";"273478160";"";"J";"63.99.1";"J.63.99.1";
"Деятельность по оказанию компьютерных информационных услуг телефонной связи";"273478161";"";"J";"63.99.11";"J.63.99.11";
