"Name";"global_id";"Razdel";"Prazdel";"Kod";"Nomdescr";"Idx";
"РАЗДЕЛ А СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО";"273129222";"A";"";"";"Раздел А охватывает использование природных ресурсов растительного и животного происхождения. Раздел включает деятельность по выращиванию сельскохозяйственных культур, разведению животных (как сельскохозяйственных, так и диких), заготовке леса и сбору дикорастущих лесопродуктов, а также деятельность, связанную с воспроизводством и защитой лесов";"1";
"Производство электросварных с применением сварки под слоем флюса труб";"273129226";"D";"DJ";"27.22.51";"";"1000";
"Производство электросварных с нагревом токами высокой частоты тонкостенных труб";"273129228";"D";"DJ";"27.22.52";"";"1001";
"Производство электросварных с нагревом токами высокой частоты нефтепроводных труб";"273129230";"D";"DJ";"27.22.53";"";"1002";
"Производство электросварных с нагревом токами высокой частоты профильных труб";"273129232";"D";"DJ";"27.22.54";"";"1003";
"Производство электросварных с нагревом токами высокой частоты водогазопроводных труб";"273129234";"D";"DJ";"27.22.55";"";"1004";
"Производство электросварных нержавеющих труб";"273129236";"D";"DJ";"27.22.56";"";"1005";
"Производство электросварных нержавеющих холоднодеформированных труб";"273129237";"D";"DJ";"27.22.57";"";"1006";
"Производство муфт";"273129239";"D";"DJ";"27.22.6";"";"1007";
"Производство муфт для водогазопроводных труб";"273129241";"D";"DJ";"27.22.61";"";"1008";
"Производство муфт под сварку";"273129243";"D";"DJ";"27.22.62";"";"1009";
"Производство прочих соединительных деталей под сварку";"273129245";"D";"DJ";"27.22.63";"";"1010";
"Прочая первичная обработка чугуна и стали";"273129247";"D";"DJ";"27.3";"";"1011";
"Производство холоднотянутых прутков и профилей";"273129249";"D";"DJ";"27.31";"Эта группировка включает:^ - производство прутков и профилей, в  том числе высокоточных, методом холодной  прокатки и холодного  волочения из сортового проката нелегированной и  легированной  стали^ - производство стали-серебрянки путем шлифовки и зачистки  сортового  холоднотянутого (калиброванного) проката из  легированной и нержавеющей  стали";"1012";
"Производство холоднокатаных узких полос и лент";"273129251";"D";"DJ";"27.32";"";"1014";
"Производство гнутых стальных профилей";"273129253";"D";"DJ";"27.33";"Эта группировка включает:^- производство гнутых профилей на роликогибочных машинах с перфорацией, а также производство оцинкованного профилированного настила^Эта группировка не включает:^- производство профилей, полученных ручной гибкой и сваркой, см. 27.10.83";"1015";
"Производство стальной проволоки";"273129256";"D";"DJ";"27.34";"Эта группировка включает:^ - производство нелегированной,  легированной и нержавеющей проволоки методом  холодного волочения  или протягивания, а также производство плющеной ленты^ Эта  группировка не включает:^ - производство проволоки для сварки,пайки и металлизации изделий и колючей  проволоки, см. 28.73";"1017";
"Производство цветных металлов";"273129259";"D";"DJ";"27.4";"";"1019";
"Производство драгоценных металлов";"273129263";"D";"DJ";"27.41";"Эта группировка включает:^ - производство драгоценных металлов,  добытых из комплексных руд, концентратов  и других полупродуктов,  содержащих драгоценные металлы, аффинаж драгоценных  металлов:  золота, серебра, платины и т.п.^ - производство сплавов  драгоценных металлов^ - нанесение покрытия из драгоценных  металлов на драгоценные и недрагоценные  металлы^ - производство  изделий из драгоценных металлов (прутьев, стержней, профилей,  проволоки, пластин, полос, листов, дисков и т.п.)^ - производство  солей и соединений драгоценных металлов^ - производство порошков  драгоценных металлов^ Эта группировка не включает:^ -  производство корпусов часов из драгоценных металлов, см. 33.50.2^  - производство ювелирных изделий из драгоценных металлов, см.  36.22.5";"1020";
"Производство алюминия";"273129265";"D";"DJ";"27.42";"";"1024";
"Производство сырья для получения алюминия";"273129267";"D";"DJ";"27.42.1";"";"1025";
"Производство оксида алюминия (глинозема)";"273129268";"D";"DJ";"27.42.11";"";"1026";
"Производство криолита и фтористого алюминия";"273129271";"D";"DJ";"27.42.12";"";"1027";
"Производство первичного алюминия";"273129273";"D";"DJ";"27.42.2";"";"1028";
"Производство алюминиевых порошков";"273129274";"D";"DJ";"27.42.3";"";"1029";
"Охота и разведение диких животных, включая предоставление услуг в этих  областях";"273129279";"A";"AA";"01.5";"";"103";
"Производство алюминиевых сплавов";"273129281";"D";"DJ";"27.42.4";"";"1030";
"Производство полуфабрикатов из алюминия или алюминиевых сплавов";"273129283";"D";"DJ";"27.42.5";"Эта группировка включает:^- производство полуфабрикатов, включая производство упаковочной фольги, из алюминия и алюминиевых сплавов методом деформации (прокатка, прессование, ковка, штамповка и др.)^Эта группировка не включает:^- производство полуфабрикатов из алюминия и алюминиевых сплавов методом литья (литье по выплавляемым моделям, литье под давлением и т.д.), см. 27.53^- производство фольги, используемой в полиграфии, см. 22.25";"1031";
"Производство свинца, цинка и олова";"273129285";"D";"DJ";"27.43";"Эта группировка включает:^ - производство свинца, цинка и олова  из руды^ - производство свинца, цинка и олова методом  электролитического рафинирования  отходов и лома свинца, цинка и  олова^ - производство сплавов свинца, цинка и олова^ -  производство полуфабрикатов из свинца, цинка и олова или их  сплавов";"1033";
"Производство свинца";"273129287";"D";"DJ";"27.43.1";"";"1035";
"Производство цинка";"273129290";"D";"DJ";"27.43.2";"";"1036";
"Производство олова";"273129292";"D";"DJ";"27.43.3";"";"1037";
"Производство меди";"273129295";"D";"DJ";"27.44";"Эта группировка включает:^ - производство меди из руды^ -  производство меди методом электролитического рафинирования медных  отходов  и лома^ - производство сплавов меди^ - производство  полуфабрикатов из меди или медных сплавов^ - производство  проволоки, стержней и пластин для плавких предохранителей";"1038";
"Охота и разведение диких животных, включая предоставление услуг в этих  областях";"273129297";"A";"AA";"01.50";"Эта группировка включает:^ - охоту, включая ловлю животных, для  получения продуктов питания, шкур, кожи или  для использования в  исследовательских целях, в зоопарках или в качестве  домашних  животных^ - производство пушнины, кожи пресмыкающихся ишкурок  птиц в результате охоты,  в том числе ловли животных^ -  разведение диких животных^ - предоставление услуг по развитию  охоты, в том числе ловли животных, в  коммерческих целях^ Эта  группировка также включает:^ - добычу морских млекопитающих(моржей, тюленей и т.п.)^ Эта группировка не включает:^ -  производство пушнины, кожи пресмыкающихся и шкурок птиц в  результате  разведения животных на фермах, см. 01.25^ -  разведение животных на фермах, кроме диких животных с целью  сохранения вида,  см. 01.25^ - добычу китов, см. 05.01.1^ -  производство шкур и кож на бойнях, см. 15.11.2^ -  спортивно-любительскую охоту, см. 92.62";"104";
